Country,Area,Code
Afghanistan,647500,AFG
Albania,28748,ALB
Algeria,2381740,DZA
Andorra,468,AND
Angola,1246700,AGO
Antigua and Barbuda,442,ATG
Argentina,2780400,ARG
Armenia,29800,ARM
Australia,7692024,AUS
Austria,83858,AUT
Azerbaijan,86600,AZE
Bahamas,13940,BHM
Bahrain,665,BHR
Bangladesh,147570,BGD
Barbados,430,BRB
Belarus,207600,BLR
Belgium,32545,BEL
Belize,22966,BLZ
Benin,112620,BEN
Bhutan,47000,BTN
Bolivia,1098580,BOL
Bosnia and Herzegovina,51129,BIH
Botswana,600370,BWA
Brazil,8515767,BRA
Brunei,5770,BRN
Bulgaria,110910,BGR
Burkina Faso,274200,BFA
Burundi,27834,BDI
Cambodia,181035,KHM
Cameroon,475440,CMR
Canada,9984670,CAN
Cape Verde,4033,CPV
Central African Republic,622984,CAF
Chad,1284000,TCD
Chile,756950,CHL
China,9572900,CHN
Colombia,1197411,COL
Comoros,2170,COM
Costa Rica,51100,CRI
Croatia,56542,HRV
Cuba,109886,CUB
Cyprus,9250,CYP
Czech Republic,78867,CZE
Democratic Republic of the Congo,2345410,COD
Denmark,43098,DNK
Djibouti,22000,DJI
Dominica,754,DMA
Dominican Republic,48730,DOM
East Timor,14874,TLS
Ecuador,283560,ECU
Egypt,1001450,EGY
El Salvador,21040,SLV
Equatorial Guinea,28051,GNQ
Eritrea,121320,ERI
Estonia,45339,EST
Ethiopia,1127127,ETH
Faroe Islands,1399,FRO
Fiji,18270,FJI
Finland,337030,FIN
France,675417,FRA
Gabon,267667,GAB
Georgia,69701,GEO
Germany,357021,DEU
Ghana,238540,GHA
Greece,131940,GRC
Greenland,2166086,GRL
Grenada,340,GRD
Guatemala,108890,GTM
Guinea,245857,GIN
Guinea-Bissau,36120,GNB
Guyana,214970,GUY
Haiti,27750,HTI
Honduras,112090,HND
Hungary,93030,HUN
Iceland,103000,ISL
India,3287263,IND
Indonesia,1904556,IDN
Iran,1648000,IRN
Iraq,437072,IRQ
Ireland,71273,IRL
Israel (Including West Bank and Gaza),26990,ISR
Italy,301230,ITA
Ivory Coast,322460,IVC
Jamaica,10990,JAM
Japan,377835,JPN
Jordan,92300,JOR
Kazakhstan,2724900,KAZ
Kenya,580367,KEN
Kingdom of Denmark,2210583,DNK
Kiribati,717,KIR
Kuwait,17820,KWT
Kyrgyzstan,198500,KGZ
Laos,236800,LAO
Latvia,64589,LVA
Lebanon,10452,LBN
Lesotho,30355,LSO
Liberia,111370,LBR
Libya,1759540,LBY
Liechtenstein,160,LIE
Lithuania,65201,LTU
Luxembourg,2586,LUX
Macedonia,25333,MKD
Madagascar,587040,MDG
Malawi,118480,MWI
Malaysia,329750,MYS
Maldives,300,MDV
Mali,1240000,MLI
Malta,316,MLT
Marshall Islands,181,MHL
Mauritania,1030700,MRT
Mauritius,1860,MUS
Mexico,1964375,MEX
Micronesia,702,FSM
Moldova,33843,MDA
Monaco,1.95,MCO
Mongolia,1565000,MNG
Montenegro,13812,MNE
Morocco,446550,MAR
Mozambique,801590,MOZ
Myanmar (Burma),678500,MMR
Namibia,825418,NAM
Nepal,147181,NPL
Netherlands,41526,NLD
New Zealand,269190,NZL
Nicaragua,129494,NIC
Niger,1267000,NER
Nigeria,923768,NGA
North Korea,120540,PRK
Norway,324220,NOR
Oman,309500,OMN
Pakistan,803940,PAK
Palau,458,PLW
Panama,78201,PAN
Papua New Guinea,462840,PNG
Paraguay,406750,PRY
Peru,1285220,PER
Philippines,300000,PHL
Poland,312685,POL
Portugal,88267,PRT
Qatar,11437,QAT
Republic of China (Taiwan Quemoy Matsu),35980,TWN
Republic of the Congo,342000,COD
Romania,238391,ROU
Russia,17098246,RUS
Rwanda,26338,RWA
Saint Kitts and Nevis,261,KNA
Saint Lucia,620,LCA
Saint Vincent and the Grenadines,389,VCT
Samoa,2860,WSM
San Marino,61.2,SMR
Saudi Arabia,2149690,SAU
Senegal,196190,SEN
Serbia,88361,SRB
Seychelles,455,SYC
Sierra Leone,72740,SLE
Singapore,692.7,SGP
Slovakia,48845,SVK
Slovenia,20253,SVN
Solomon Islands,28450,SLB
Somalia,637657,SOM
South Africa,1219912,ZAF
South Korea,98480,KOR
South Sudan,619745,SSD
Spain,504781,ESP
Sri Lanka,65611,LKA
Sudan,1861484,SDN
Suriname,163270,SUR
Swaziland,17363,SWZ
Sweden,449964,SWE
Switzerland,41210,CHE
Syria,185180,SYR
Tajikistan,143100,TJK
Tanzania,945087,TZA
Thailand,514000,THA
The Gambia,11300,GMB
Togo,56785,TGO
Tonga,748,TON
Trinidad and Tobago,5128,TTO
Tunisia,163610,TUN
Turkey,780580,TUR
Turkmenistan,488100,TKM
Tuvalu,26,TUV
Uganda,241550,UGA
Ukraine,603628,UKR
United Arab Emirates,82880,ARE
United Kingdom,243610,GBR
United States of America,9525067,USA
Uruguay,176220,URY
Uzbekistan,447400,UZB
Vanuatu,12200,VUT
Venezuela,912050,VEN
Vietnam,329560,VNM
Yemen,527970,YEM
Zambia,752614,ZMB
Zimbabwe,390580,ZWE